OBJECTID,access_id,station_id,access_point_name,location_type,x,y
204,"geom:37.35357,-121.93652",mtc:santa-clara-caltrain,Santa Clara Caltrain,2,-121.93652,37.35357
205,"geom:37.35334,-121.93663",mtc:santa-clara-caltrain,Santa Clara Caltrain,2,-121.93663,37.35334
206,"geom:37.37044,-121.99674",lawrence,Lawrence,2,-121.99674,37.37044
207,"geom:37.37040,-121.99619",lawrence,Lawrence,2,-121.99619,37.3704
208,"geom:37.37062,-121.99570",lawrence,Lawrence,2,-121.9957,37.37062
209,"geom:37.37069,-121.99592",lawrence,Lawrence,2,-121.99592,37.37069
210,"geom:37.37069,-121.99607",lawrence,Lawrence,2,-121.99607,37.37069
211,"geom:37.37069,-121.99674",lawrence,Lawrence,2,-121.99674,37.37069
212,"geom:37.37068,-121.99666",lawrence,Lawrence,2,-121.99666,37.37068
213,"geom:37.37070,-121.99704",lawrence,Lawrence,2,-121.99704,37.3707
214,"geom:37.37073,-121.99783",lawrence,Lawrence,2,-121.99783,37.37073
215,"geom:37.37071,-121.99809",lawrence,Lawrence,2,-121.99809,37.37071
216,"geom:37.37046,-121.99701",lawrence,Lawrence,2,-121.99701,37.37046
217,"geom:37.37038,-121.99565",lawrence,Lawrence,2,-121.99565,37.37038
218,"geom:37.37877,-122.03086",sunnyvale,Sunnyvale,2,-122.03086,37.37877
219,"geom:37.37869,-122.03063",sunnyvale,Sunnyvale,2,-122.03063,37.37869
220,"geom:37.37926,-122.03240",sunnyvale,Sunnyvale,2,-122.0324,37.37926
221,"geom:37.37917,-122.03264",sunnyvale,Sunnyvale,2,-122.03264,37.37917
222,"geom:37.37872,-122.03128",sunnyvale,Sunnyvale,2,-122.03128,37.37872
223,"geom:37.37859,-122.03109",sunnyvale,Sunnyvale,2,-122.03109,37.37859
224,"geom:37.37847,-122.03047",sunnyvale,Sunnyvale,2,-122.03047,37.37847
225,"geom:37.37854,-122.03073",sunnyvale,Sunnyvale,2,-122.03073,37.37854
226,"geom:37.37847,-122.03074",sunnyvale,Sunnyvale,2,-122.03074,37.37847
227,"geom:37.37912,-122.03251",sunnyvale,Sunnyvale,2,-122.03251,37.37912
228,"geom:37.37859,-122.03041",sunnyvale,Sunnyvale,2,-122.03041,37.37859
229,"geom:37.39435,-122.07597",mtc:mountain-view-station,Mountain View Station,2,-122.07597,37.39435
230,"geom:37.39465,-122.07670",mtc:mountain-view-station,Mountain View Station,2,-122.0767,37.39465
231,"geom:37.39430,-122.07584",mtc:mountain-view-station,Mountain View Station,2,-122.07584,37.3943
232,"geom:37.39494,-122.07677",mtc:mountain-view-station,Mountain View Station,2,-122.07677,37.39494
233,"geom:37.39394,-122.07492",mtc:mountain-view-station,Mountain View Station,2,-122.07492,37.39394
234,"geom:37.39396,-122.07458",mtc:mountain-view-station,Mountain View Station,2,-122.07458,37.39396
235,"geom:37.39478,-122.07661",mtc:mountain-view-station,Mountain View Station,2,-122.07661,37.39478
236,"geom:37.39384,-122.07466",mtc:mountain-view-station,Mountain View Station,2,-122.07466,37.39384
237,"geom:37.40697,-122.10668",san_antonio,San Antonio,2,-122.10668,37.40697
238,"geom:37.40724,-122.10714",san_antonio,San Antonio,2,-122.10714,37.40724
239,"geom:37.40734,-122.10731",san_antonio,San Antonio,2,-122.10731,37.40734
240,"geom:37.40762,-122.10774",san_antonio,San Antonio,2,-122.10774,37.40762
241,"geom:37.40784,-122.10809",san_antonio,San Antonio,2,-122.10809,37.40784
242,"geom:37.40700,-122.10642",san_antonio,San Antonio,2,-122.10642,37.407
243,"geom:37.40812,-122.10826",san_antonio,San Antonio,2,-122.10826,37.40812
244,"geom:37.40706,-122.10659",san_antonio,San Antonio,2,-122.10659,37.40706
245,"geom:37.42921,-122.14202",california_ave,California Avenue,2,-122.14202,37.42921
246,"geom:37.42886,-122.14144",california_ave,California Avenue,2,-122.14144,37.42886
247,"geom:37.42870,-122.14113",california_ave,California Avenue,2,-122.14113,37.4287
248,"geom:37.42857,-122.14089",california_ave,California Avenue,2,-122.14089,37.42857
249,"geom:37.42906,-122.14136",california_ave,California Avenue,2,-122.14136,37.42906
250,"geom:37.42863,-122.14067",california_ave,California Avenue,2,-122.14067,37.42863
251,"geom:37.44371,-122.16544",mtc:palo-alto-station,Palo Alto Station,2,-122.16544,37.44371
252,"geom:37.44330,-122.16491",mtc:palo-alto-station,Palo Alto Station,2,-122.16491,37.4433
253,"geom:37.44353,-122.16540",mtc:palo-alto-station,Palo Alto Station,2,-122.1654,37.44353
254,"geom:37.44301,-122.16437",mtc:palo-alto-station,Palo Alto Station,2,-122.16437,37.44301
255,"geom:37.44311,-122.16455",mtc:palo-alto-station,Palo Alto Station,2,-122.16455,37.44311
256,"geom:37.44356,-122.16469",mtc:palo-alto-station,Palo Alto Station,2,-122.16469,37.44356
257,"geom:37.44394,-122.16515",mtc:palo-alto-station,Palo Alto Station,2,-122.16515,37.44394
258,"geom:37.44380,-122.16509",mtc:palo-alto-station,Palo Alto Station,2,-122.16509,37.4438
259,"geom:37.44330,-122.16435",mtc:palo-alto-station,Palo Alto Station,2,-122.16435,37.4433
260,"geom:37.44394,-122.16532",mtc:palo-alto-station,Palo Alto Station,2,-122.16532,37.44394
261,"geom:37.44411,-122.16558",mtc:palo-alto-station,Palo Alto Station,2,-122.16558,37.44411
262,"geom:37.45471,-122.18235",menlo_park,Menlo Park,2,-122.18235,37.45471
263,"geom:37.45440,-122.18185",menlo_park,Menlo Park,2,-122.18185,37.4544
264,"geom:37.45479,-122.18269",menlo_park,Menlo Park,2,-122.18269,37.45479
265,"geom:37.45493,-122.18270",menlo_park,Menlo Park,2,-122.1827,37.45493
266,"geom:37.45519,-122.18310",menlo_park,Menlo Park,2,-122.1831,37.45519
267,"geom:37.45421,-122.18151",menlo_park,Menlo Park,2,-122.18151,37.45421
268,"geom:37.45434,-122.18146",menlo_park,Menlo Park,2,-122.18146,37.45434
269,"geom:37.45547,-122.18325",menlo_park,Menlo Park,2,-122.18325,37.45547
